npl_publn_id	npl_biblio
7466	WILLIAMS D P ET AL:  DESIGN, SYNTHESIS AND EXPRESSION OF A HUMAN INTERLEUKIN-2 GENE INCORPORATING THE CODON USAGE BIAS FOUND IN HIGHLY EXPRESSED ESCHERICHIA COLI GENES, NUCLEIC ACIDS RESEARCH, OXFORD UNIVERSITY PRESS, SURREY, GB, Bd. 16, Nr. 22, 25. November 1988 (1988-11-25), Seiten 10453-10467, XP000007466, ISSN: 0305-1048
8346	WILLIAMS D S ET AL: NITROGEN, OXYGEN, AND ARGON INCORPORATION DURING REACTIVE SPUTTER DEPOSITION OF TITANIUM NITRIDE JOURNAL OF VACUUM SCIENCE AND TECHNOLOGY: PART B, AMERICAN INSTITUTE OF PHYSICS. NEW YORK, US, vol. 5, no. 6 INDEX, 1 November 1987 (1987-11-01), pages 1723-1729, XP000008346 ISSN: 0734-211X
116327	WILLIAMS B W ET AL: GTO THYRISTOR AND BIPOLAR TRANSISTOR CASCODE SWITCHES IEE PROCEEDINGS B. ELECTRICAL POWER APPLICATIONS,GB,INSTITUTION OF ELECTRICAL ENGINEERS. STEVENAGE, Bd. 137, Nr. 3, PART B, 1. Mai 1990 (1990-05-01), Seiten 141-153, XP000116327
143625	WILLIAMS B W ET AL: SENSORLESS SPEED MEASUREMENT OF INVERTER DRIVEN SQUIRREL CAGE INDUCTION MOTORS PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON POWER ELECTRONICS AN VARIABLE SPEED DRIVES, LONDON, 17 - 19 JULY, 1990, no. CONF. 4, 17 July 1990, INSTITUTION OF ELECTRICAL ENGINEERS, pages 297-300, XP000143625
272755	WILLIAMS E B ET AL:  ZYMOGEN/ENZYME DISCRIMINATION USING PEPTIDE CHLOROMETHYL KETONES JOURNAL OF BIOLOGICAL CHEMISTRY, AMERICAN SOCIETY OF BIOLOGICAL CHEMISTS, BALTIMORE, MD, US, vol. 264, no. 13, 5 May 1989 (1989-05-05), pages 7536-7545, XP000272755 ISSN: 0021-9258
338728	WILLIAMS ET AL.:  A novel method for non-invasive multispectral imaging of tissue PROCEEDINGS OF IEEE SOUTHEASTCON 1992, vol. 1, April 1992 (1992-04), pages 291-294, XP000338728 US
403909	WILLIAMS D L ET AL: ENHANCED UV PHOTOSENSITIVITY IN BORON CODOPED GERMANOSILICATE FIBRES ELECTRONICS LETTERS, vol. 29, no. 1, 7 January 1993, pages 45-47, XP000403909
484300	WILLIAMS D L ET AL: DEVELOPMENT OF NATURAL PRODUCT (1 3)-BETA-D-GLUCAN POLYMERS AS IMMUNE-STIMULATING PHARMACEUTICALS POLYMERS FOR ADVANCED TECHNOLOGIES,GB,JOHN WILEY AND SONS, CHICHESTER, vol. 5, no. 9, 1 September 1994 (1994-09-01), pages 529-534, XP000484300 ISSN: 1042-7147
559190	WILLIAMS D L ET AL:  BROAD BANDWIDTH HIGHLY REFLECTING GRATINGS FORMED IN PHOTOSENSITIVE BORON CODOPED FIBRES 27 September 1992 , PROCEEDINGS OF THE EUROPEAN CONFERENCE ON OPTICAL COMMUNICATION (EC POST DEADLINE PAPERS, BERLIN, SEPT. 27 - OCT. 1, 1992, VOL. 3, PAGE(S) 923 - 926 , INFORMATIONSTECHNISCHE GESELLSCHAFT IM VDE XP000559190 * abstract * * page 924, line 14 - page 926, line 11 *
655040	WILLIAMS D L ET AL: TEMPERATURE STABLE 1.3 MUM LASER WITH BRAGG FIBRE GRATING EXTERNAL CAVITY FOR ACCESS NETWORKS PROCEEDINGS OF THE EUROPEAN CONFERENCE ON OPTICAL COMMUNICATION (EC, MONTREUX, SEPT. 12 - 16, 1993 REGULAR PAPERS, vol. VOL. 2, no. CONF. 19, 1993, SWISS ELECTROTECHNICAL ASSOCIATION, pages 209-212, XP000655040
670985	WILLIAMS C: CICA-CARE: ADHESIVE GEL SHEET BRITISH JOURNAL OF NURSING,, ALLEN, LONDON, GB, vol. 5, no. 14, 1996, pages 875-876, XP000670985 ISSN: 0966-0461
799741	WILLIAMS C F M ET AL:  SOURCES OF ARTIFACT AND SYSTEMATIC ERROR IN QUANTITATIVE SNAPSHOT FLASH IMAGING AND METHODS FOR THEIR ELIMINATION MAGNETIC RESONANCE IN MEDICINE, ACADEMIC PRESS, DULUTH, MN, US, vol. 41, no. 1, 1999, pages 63-71, XP000799741 ISSN: 0740-3194
861762	WILLIAMS ET AL.:  Depth resolution degradation of sputter-profiled InP/InxGa1-xAsyP1-y interfaces caused by cone formation APPLIED PHYSICS LETTERS, Bd. 36, Nr. 10, 15. Mai 1980 (1980-05-15), Seiten 827-829, XP000861762 NEW YORK  US
933332	WILLIAMS D: TURBO-PRODUCT CODES ADVANCE ECC TECHNOLOGY EDN ELECTRICAL DESIGN NEWS, CAHNERS PUBLISHING CO. NEWTON, MASSACHUSETTS, US, vol. 45, no. 3, 3 February 2000 (2000-02-03), pages 77-79,81-82, XP000933332 ISSN: 0012-7515
1012943	WILLIAMS A C ET AL:  SKIN ABSORPTION ENHANCERS, CRITICAL REVIEWS IN THERAPEUTIC DRUG CARRIER SYSTEMS, XX, XX, vol. 9, no. 3/4, 1992, pages 305-353, XP001012943, ISSN: 0743-4863
1032429	WILLIAMS C J ET AL:  Multicentre cross over study of aminoglutethimide and trilostane in advanced postmenopausal breast cancer. BRITISH JOURNAL OF CANCER, vol. 68, no. 6, 1993, pages 1210-1215, XP001032429 ISSN: 0007-0920
1040495	WILLIAMS DIANA L ET AL: Characterization of rifampin resistance in pathogenic mycobacteria. ANTIMICROBIAL AGENTS AND CHEMOTHERAPY, vol. 38, no. 10, 1994, pages 2380-2386, XP001040495 ISSN: 0066-4804
1058922	WILLIAMS ET AL.:  Catabolism of amino acids by lactic acid bacteria isolated from Cheddar cheese INTERNATIONAL DAIRY JOURNAL, deel 11, nr. 4-7, 2001, bladzijden 203-215, XP001058922
1106179	WILLIAMS D E ET AL: IS FREE HALOGEN NECESSARY FOR DISINFECTION? APPLIED AND ENVIRONMENTAL MICROBIOLOGY, vol. 54, no. 10, 1988, pages 2583-2585, XP001106179 ISSN: 0099-2240
